username,caption,location,likes,comments,post_url,date
aspirantsvalley,"cauvery mahseer

#5january2025 #upscaspirants #thehindu #indianexpress #upsc #ias #mahseer #cauverymahseer #humpbackedmahseer #cauveryriver #moyarriver #bandipurtigerreserve #karnataka #bengaluru #iucn #criticallyendangered #upscprelims2025 #ips #aspirants #currentaffairs #upscnewspapers #aspirantsv",,0,0,https://instagram.com/p/DEeXaPVztMX/,2025-01-06T06:42:03.000Z
omisfishing,"lucky to catch this beautiful mahseer after a hard day of fishing. i'm simply humbled by the power of this fish everytime i go after them. lure: zman swimmerz 6inch with a 28 gm mustad darter jig head. bluefin mahseer on soft plastic lure - india 2022
https://youtu.be/ieghrkidgd8

#bluefinmahseer #m",,142,12,https://instagram.com/p/CbHtQpvv6vl/,2022-03-15T10:03:17.000Z
mahseertrust,"on 4th november, that is the third day of the #riversoflife exhibition, steve lockett, executive director of @mahseertrust will be hosting a workshop on the theme of #connections in aquatic landscape and biodiversity, mainly focussing on #river #kaveri . 
steve will also be joined by others includin",,32,0,https://instagram.com/p/Ckdqnrby8IB/,2022-11-02T15:26:03.000Z
chagantiandsons,"fighting the mighty mahseer along the banks of the kaveri river - an age-old chaganti tradition.
🎣 
a personal favourite activity of ours, we make a minimum of two trips a year. we follow the “catch-and-release” practice in keeping with conservation norms. some of our fondest memories have been sitt",cauvery river,43,1,https://instagram.com/p/CGALoQLADW6/,2020-10-06T12:55:27.000Z
pelagicderek,"my second sculpture after lockdown. a tribute to the dwindling population of the tor remadevii (kaveri humpbacked mahseer). handmade sculpture made with sculpey polymer clay.

@mahseertrust @wasiindia @mahseerconference @sculpey_official

#mahseertrust #sculpey #sculpture #mahseerfishingindia #mahse",,190,16,https://instagram.com/p/B-Z-HuEAtG3/,2020-03-31T17:06:31.000Z
wasiindia,"it is encouraging to see these young humpback mahseer recruits show up now and again in the protected waters of the #coorgwildlifesociety. 
#humpbackmahseer #savemahseer #nammatigerofthecauvery #nammamahseer #wildlifeassociationofsouthindia #cauveryriver #cauverywildlifesanctuary #fisheries #fisheri",,22,0,https://instagram.com/p/B5t_30GD7ua/,2019-12-06T05:09:39.000Z
matmarlboro,"deccan mahseer (tor khudree) from india. possibly western ghats. i've been searching for these for a long time & finally i've imported them myself.

#tor #torkhudree #deccanmahseer #mahseer #indianfish #fish #freshwaterfish #cyprinidae #ikan #kelah #malaysia #aquariumfish #fishtank #fishphotography ",,27,3,https://instagram.com/p/CtwFKVOSNIu/,2023-06-21T11:46:51.000Z
pelagicderek,"topwater mahseer

my first fish on the production benthic plop plop at kaveri river karnataka

crazy lure got this amazing beauty on my 3rd cast the top water take is brilliant .

caught on pelagic nomad rod, shimano curadok reel and benthic plop plop lure

#shimanofishing #shimano #shimanocuradok #",,139,4,https://instagram.com/p/CbC88UVLEib/,2022-03-13T13:44:07.000Z
garynewman7518,sad news that the humpback mahseer is now an endangered species. it can now only be found in a few places in southern india - including parts of the cauvery river where i caught this 44lb specimen more than 15 years ago! good to see that the mahseer trust are trying to save them #mahseer #mahseertru,,163,7,https://instagram.com/p/BuhBJGFFIOo/,2019-03-02T18:25:18.000Z
garynewman7518,tbt november 2005 on the cauvery river in india and my first ever big mahseer. this one weighed 44lb and had to follow it through some rapids in a coracle! such a shame the fishing has now been banned on the whole of this stretch. #bheemeshwari #cauveryriver #mahseer #india #fishing #fishinginindia ,,178,14,https://instagram.com/p/BsvKn0NldIK/,2019-01-17T13:14:43.000Z
